0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 41997, 0, 0, 0, 14, 0, 0, 0, 0, 141668, 2
0, 9, 0, 0, 22452, 778, 0, 99, 0, 0, 117, 0, 2911, 0
0, 2, 0, 0, 2372, 127677, 240, 52, 0, 726, 97, 0, 5189, 0
0, 0, 0, 10, 1852, 1486, 25936, 8313, 0, 0, 1230, 0, 31605, 2580
0, 0, 0, 447, 2123, 14283, 8239, 25987, 758, 1179, 277, 0, 81619, 4
0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 5615, 0
0, 0, 0, 0, 465, 558, 0, 221, 0, 4263, 2, 0, 1451, 0
0, 0, 0, 0, 1858, 1657, 0, 154, 0, 180, 2243, 0, 973, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 341, 1769, 1417, 448, 2493, 0, 0, 114, 0, 218514, 199
0, 0, 0, 1, 2, 0, 0, 495, 0, 0, 0, 0, 52004, 7272
